BuildingName;BuildingType;Latitude;Longitude;Neighborhood;YearBuilt;EPAPropertyType;LargestPropertyUseType;ComplianceStatus;ComplianceIssue
MAYFLOWER PARK HOTEL;NonResidential;47.6122;-122.33799;DOWNTOWN;1927;Hotel;Hotel;Compliant;No Issue
PARAMOUNT HOTEL;NonResidential;47.61307;-122.33361;DOWNTOWN;1996;Hotel;Hotel;Compliant;No Issue
WESTIN HOTEL (Parent Building);NonResidential;47.61367;-122.33822;DOWNTOWN;1969;Hotel;Hotel;Compliant;No Issue
HOTEL MAX;NonResidential;47.61412;-122.33664;DOWNTOWN;1926;Hotel;Hotel;Compliant;No Issue
WARWICK SEATTLE HOTEL;NonResidential;47.61375;-122.34047;DOWNTOWN;1980;Hotel;Hotel;Compliant;No Issue
WEST PRECINCT (SEATTLE POLICE);Nonresidential COS;47.61623;-122.33657;DOWNTOWN;1999;Police Station;Police Station;Compliant;No Issue
CAMLIN WORLDMARK HOTEL;NonResidential;47.6139;-122.33283;DOWNTOWN;1926;Hotel;Hotel;Compliant;No Issue
PARAMOUNT THEATER;NonResidential;47.61327;-122.33136;DOWNTOWN;1926;Other - Entertainment/Public Assembly;Other - Entertainment/Public Assembly;Compliant;No Issue
COURTYARD BY MARRIOTT - PIONEER SQ;NonResidential;47.60294;-122.33263;DOWNTOWN;1904;Hotel;Hotel;Compliant;No Issue
LYON BUILDING;Multifamily MR (5-9);47.60284;-122.33184;DOWNTOWN;1910;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
HOTEL MONACO;NonResidential;47.60695;-122.33414;DOWNTOWN;1969;Hotel;Hotel;Compliant;No Issue
W SEATTLE HOTEL;NonResidential;47.60738;-122.33362;DOWNTOWN;1998;Hotel;Hotel;Compliant;No Issue
EXECUTIVE HOTEL PACIFIC;NonResidential;47.60699;-122.33346;DOWNTOWN;1928;Hotel;Hotel;Compliant;No Issue
CROWNE PLAZA;NonResidential;47.60809;-122.33212;DOWNTOWN;1980;Hotel;Hotel;Compliant;No Issue
HOTEL VINTAGE PARK;NonResidential;47.60755;-122.33244;DOWNTOWN;1922;Hotel;Hotel;Compliant;No Issue
SEATTLE CENTRAL LIBRARY;Nonresidential COS;47.60649;-122.33297;DOWNTOWN;2004;Library;Library;Compliant;No Issue
DOWNTOWN SEATTLE YMCA;NonResidential;47.60546;-122.33279;DOWNTOWN;1930;Fitness Center/Health Club/Gym;Fitness Center/Health Club/Gym;Compliant;No Issue
RENAISSANCE MADISON HOTEL;NonResidential;47.60681;-122.33078;DOWNTOWN;1983;Hotel;Hotel;Compliant;No Issue
RAINIER CLUB (HISTORICAL LANDMARK);NonResidential;47.60515;-122.33159;DOWNTOWN;1907;Mixed Use Property;Social/Meeting Hall;Compliant;No Issue
DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE;NonResidential;47.60376;-122.33194;DOWNTOWN;1916;Hotel;Hotel;Compliant;No Issue
KING COUNTY COURTHOUSE;NonResidential;47.60265;-122.33051;DOWNTOWN;1916;Courthouse;Courthouse;Compliant;No Issue
KING COUNTY CORRECTIONAL FACILITY;NonResidential;47.60378;-122.32842;DOWNTOWN;1985;Prison/Incarceration;Prison/Incarceration;Compliant;No Issue
GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.54576;-122.26853;SOUTHEAST;1961;K-12 School;K-12 School;Compliant;No Issue
WATERTOWN HOTEL;NonResidential;47.65958;-122.31738;NORTHEAST;2001;Hotel;Hotel;Compliant;No Issue
CORNISH (Main Campus Center);NonResidential;47.61816;-122.33629;DOWNTOWN;1928;College/University;College/University;Compliant;No Issue
HOMEWOOD SUITES -SEATTLE - Hilton;NonResidential;47.61301;-122.32929;EAST;1991;Hotel;Hotel;Compliant;No Issue
SPRINGHILL SUITES SEATTLE DOWNTOWN;NonResidential;47.61784;-122.32966;DOWNTOWN;2001;Hotel;Hotel;Compliant;No Issue
MEANY MIDDLE SCHOOL (SPS-DISTRICT);SPS-District K-12;47.62266;-122.30547;SHARED: CENTRAL & EAST;1955;K-12 School;K-12 School;Compliant;No Issue
HOTEL FIVE;NonResidential;47.61558;-122.34186;DOWNTOWN;1978;Hotel;Hotel;Compliant;No Issue
JANE ADDAMS MIDDLE (SPS-DISTRICT);SPS-District K-12;47.70994;-122.29301;NORTH;1949;K-12 School;K-12 School;Compliant;No Issue
JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.6329;-122.35172;MAGNOLIA / QUEEN ANNE;1989;K-12 School;K-12 School;Compliant;No Issue
GOOD SHEPHERD CENTER;NonResidential;47.6641;-122.33118;LAKE UNION;1906;Office;Office;Compliant;No Issue
SILVER CLOUD INN UNIVERSITY;NonResidential;47.66583;-122.29965;NORTHEAST;1994;Hotel;Hotel;Compliant;No Issue
2746 NE 45TH ST - PUBLIC STORAGE;NonResidential;47.66172;-122.29598;NORTHEAST;1955;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus;Campus;47.53493;-122.31788;GREATER DUWAMISH;1992;Mixed Use Property;Office;Compliant;No Issue
LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.65671;-122.39047;MAGNOLIA / QUEEN ANNE;1990;K-12 School;K-12 School;Compliant;No Issue
ECKSTEIN MIDDLE (SPS-DISTRICT);SPS-District K-12;47.68252;-122.29498;NORTHEAST;1950;K-12 School;K-12 School;Compliant;No Issue
SALMON BAY CENTER 5305 & 5309;NonResidential;47.66587;-122.38476;BALLARD;1961;Office;Office;Compliant;No Issue
EL CENTRO DE LA RAZA;NonResidential;47.58034;-122.31132;GREATER DUWAMISH;1900;Office;Office;Compliant;No Issue
BLANCHET HIGH SCHOOL;NonResidential;47.68891;-122.33553;NORTHWEST;1954;K-12 School;K-12 School;Compliant;No Issue
VINE ST MINI STORAGE;NonResidential;47.61351;-122.35129;DOWNTOWN;1911;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
HILTON SEATTLE;NonResidential;47.60946;-122.33337;DOWNTOWN;1969;Hotel;Hotel;Compliant;No Issue
5TH & PINE;NonResidential;47.6113;-122.33659;DOWNTOWN;1973;Office;Office;Compliant;No Issue
CENTURY SQUARE RETAIL;NonResidential;47.61076;-122.33765;DOWNTOWN;1920;Other - Mall;Other - Mall;Compliant;No Issue
GIBRALTAR TOWER;NonResidential;47.61048;-122.33794;DOWNTOWN;1910;Office;Office;Compliant;No Issue
MANN BUILDING/WILD GINGER/TRIPLE DOOR;NonResidential;47.60886;-122.33744;DOWNTOWN;1926;Mixed Use Property;Other - Entertainment/Public Assembly;Compliant;No Issue
PALIHOTEL;NonResidential;47.60973;-122.34038;DOWNTOWN;1900;Hotel;Hotel;Not Compliant;Missing 2021 EUI or Electricity Data
HOTEL THEODORE (ROOSEVELT);NonResidential;47.61233;-122.33432;DOWNTOWN;1930;Hotel;Hotel;Compliant;No Issue
SHERATON GRAND SEATTLE - (Parent Building);Campus;47.61087;-122.33339;DOWNTOWN;1982;Hotel;Hotel;Compliant;No Issue
INN AT THE MARKET;NonResidential;47.60997;-122.34138;DOWNTOWN;1985;Hotel;Hotel;Compliant;No Issue
MOORE HOTEL & THEATRE;NonResidential;47.61155;-122.34114;DOWNTOWN;1908;Hotel;Hotel;Compliant;No Issue
HOLIDAY INN - SEATTLE;NonResidential;47.62001;-122.34274;LAKE UNION;2000;Hotel;Hotel;Compliant;No Issue
FAIRFIELD INN;NonResidential;47.62025;-122.34314;LAKE UNION;1997;Hotel;Hotel;Compliant;No Issue
HOMEWOOD SUITES HOTEL - SEATTLE;NonResidential;47.62023;-122.35951;MAGNOLIA / QUEEN ANNE;1998;Hotel;Hotel;Compliant;No Issue
